file,type,length,modification,result,match,
001039,Other,10,original,Success,None,
001040,Rock,10,original,Success,None,
001066,Electronic,10,original,Success,None,
001069,Electronic,10,original,Success,None,
001073,Electronic,10,original,Success,None,
001075,Electronic,10,original,Success,None,
001082,International,10,original,Success,None,
001083,Avant-Garde,10,original,Success,None,
001087,Rock,10,original,Success,None,
001102,Rock,10,original,Success,None,
001193,Folk,10,original,Success,None,
001195,Folk,10,original,Success,None,
001196,Folk,10,original,Success,None,
001197,Folk,10,original,Success,None,
001249,Noise,10,original,Success,None,
001259,Noise,10,original,Success,None,
001270,Punk,10,original,Success,None,
001276,Plunderphonic,10,original,Success,None,
001277,Plunderphonic,10,original,Success,None,
001278,Audio Collage,10,original,Success,None,
001417,Rock,10,original,Success,None,
001427,Rock,10,original,Success,None,
001443,Drone,10,original,Success,None,
001482,Electronic,10,original,Success,None,
001510,Noise,10,original,Success,None,
001544,Folk,10,original,Success,None,
001642,Pop,10,original,Success,None,
001644,Pop,10,original,Success,None,
001649,Pop,10,original,Success,None,
001661,Pop,10,original,Success,None,
001663,Pop,10,original,Success,None,
001666,Pop,10,original,Success,None,
001673,Field Recording,10,original,Success,None,
001680,International,10,original,Success,None,
001681,International,10,original,Success,None,
001682,International,10,original,Success,None,
001683,International,10,original,Success,None,
001684,International,10,original,Success,None,
001685,International,10,original,Success,None,
001686,International,10,original,Success,None,
001687,International,10,original,Success,None,
001688,International,10,original,Success,None,
001689,International,10,original,Success,None,
001701,Folk,10,original,Success,None,
001702,Folk,10,original,Success,None,
001703,Folk,10,original,Success,None,
001704,Folk,10,original,Success,None,
001706,Rock,10,original,Success,None,
001720,Psych-Rock,10,original,Success,None,
001732,Experimental,10,original,Success,None,
001733,Experimental,10,original,Success,None,
001735,Experimental,10,original,Success,None,
001736,Experimental,10,original,Success,None,
001883,Rock,10,original,Success,None,
001891,Rock,10,original,Success,None,
001893,Folk,10,original,Success,None,
001924,Folk,10,original,Success,None,
001925,Folk,10,original,Success,None,
001929,Electronic,10,original,Success,None,
001930,Progressive,10,original,Success,None,
002012,Rock,10,original,Success,None,
002096,Experimental,10,original,Success,None,
002097,Folk,10,original,Success,None,
002099,Pop,10,original,Success,None,
003263,Folk,10,original,Success,None,
003264,Folk,10,original,Success,None,
003265,Folk,10,original,Success,None,
003266,Folk,10,original,Success,None,
003270,Folk,10,original,Success,None,
003271,Folk,10,original,Success,None,
003272,Folk,10,original,Success,None,
003273,Folk,10,original,Success,None,
003274,Folk,10,original,Success,None,
003492,Rock,10,original,Success,None,
003532,Pop,10,original,Success,None,
003533,Pop,10,original,Success,None,
003534,Pop,10,original,Success,None,
003535,Pop,10,original,Success,None,
003537,Pop,10,original,Success,None,
003538,Pop,10,original,Success,None,
003573,Electronic,10,original,Success,None,
003598,Folk,10,original,Success,None,
003624,Punk,10,original,Success,None,
003707,Folk,10,original,Success,None,
003708,Folk,10,original,Success,None,
003720,Rock,10,original,Success,None,
003721,Rock,10,original,Success,None,
003722,Rock,10,original,Success,None,
003724,Rock,10,original,Success,None,
003725,Rock,10,original,Success,None,
003761,Rock,10,original,Success,None,
003762,Rock,10,original,Success,None,
003763,Rock,10,original,Success,None,
003765,Rock,10,original,Success,None,
003766,Rock,10,original,Success,None,
003775,Latin,10,original,Success,None,
003776,Latin,10,original,Success,None,
003777,Latin,10,original,Success,None,
003778,Latin,10,original,Success,None,
003779,Latin,10,original,Success,None,
003832,Folk,10,original,Success,None,
003833,Rock,10,original,Success,None,
003840,Rock,10,original,Success,None,
003880,Folk,10,original,Success,None,
003895,Balkan,10,original,Success,None,
003896,Balkan,10,original,Success,None,
003904,Folk,10,original,Success,None,
